,Series Name,Series Code,Country Name,Country Code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
14,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Bahrain,BHR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Bangladesh,BGD,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
16,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Barbados,BRB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
17,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Belarus,BLR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
18,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Belgium,BEL,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Belize,BLZ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Benin,BEN,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
22,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Bhutan,BTN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
23,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Bolivia,BOL,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
24,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Bosnia and Herzegovina,BIH,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
25,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Botswana,BWA,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
26,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Brazil,BRA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
28,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Brunei Darussalam,BRN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
29,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Bulgaria,BGR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
30,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Burkina Faso,BFA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
31,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Burundi,BDI,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Cabo Verde,CPV,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
33,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Cambodia,KHM,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
34,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Cameroon,CMR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Canada,CAN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
37,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Central African Republic,CAF,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
38,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Chad,TCD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Chile,CHL,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
41,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,China,CHN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
42,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Colombia,COL,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
43,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Comoros,COM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,"Congo, Dem. Rep.",COD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
45,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,"Congo, Rep.",COG,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
46,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Costa Rica,CRI,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
47,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Cote d'Ivoire,CIV,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
48,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Croatia,HRV,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
51,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Cyprus,CYP,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
52,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Czechia,CZE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
53,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Denmark,DNK,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
54,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Djibouti,DJI,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
55,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Dominica,DMA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
56,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Dominican Republic,DOM,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
57,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Ecuador,ECU,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
58,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,"Egypt, Arab Rep.",EGY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,El Salvador,SLV,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
60,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Equatorial Guinea,GNQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Eritrea,ERI,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
62,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Estonia,EST,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
63,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Eswatini,SWZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Ethiopia,ETH,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
66,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Fiji,FJI,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
67,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Finland,FIN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
68,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,France,FRA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
70,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Gabon,GAB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
71,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,"Gambia, The",GMB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
72,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Georgia,GEO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
73,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Germany,DEU,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
74,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Ghana,GHA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
76,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Greece,GRC,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
78,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Grenada,GRD,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
80,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Guatemala,GTM,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
81,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Guinea,GIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
82,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Guinea-Bissau,GNB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Guyana,GUY,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
84,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Haiti,HTI,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
85,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Honduras,HND,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
86,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,"Hong Kong SAR, China",HKG,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
87,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Hungary,HUN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
88,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Iceland,ISL,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
89,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,India,IND,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
90,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Indonesia,IDN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
91,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,"Iran, Islamic Rep.",IRN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Iraq,IRQ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
93,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Ireland,IRL,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
95,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Israel,ISR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
96,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Italy,ITA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
97,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Jamaica,JAM,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
98,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Japan,JPN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
99,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Jordan,JOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Kazakhstan,KAZ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
101,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Kenya,KEN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
102,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Kiribati,KIR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
104,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,"Korea, Rep.",KOR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
105,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Kosovo,XKX,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
106,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Kuwait,KWT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Kyrgyz Republic,KGZ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
108,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Lao PDR,LAO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
109,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Latvia,LVA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
110,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Lebanon,LBN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
111,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Lesotho,LSO,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
112,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Liberia,LBR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
113,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Libya,LBY,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
115,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Lithuania,LTU,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
116,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Luxembourg,LUX,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
118,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Madagascar,MDG,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
119,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Malawi,MWI,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
120,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Malaysia,MYS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
121,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Maldives,MDV,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
122,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Mali,MLI,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
123,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Malta,MLT,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
124,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Marshall Islands,MHL,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
125,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Mauritania,MRT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Mauritius,MUS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
127,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Mexico,MEX,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
128,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,"Micronesia, Fed. Sts.",FSM,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
129,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Moldova,MDA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
131,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Mongolia,MNG,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
132,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Montenegro,MNE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
133,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Morocco,MAR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
134,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Mozambique,MOZ,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
135,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Myanmar,MMR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
136,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Namibia,NAM,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
138,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Nepal,NPL,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
139,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Netherlands,NLD,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
141,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,New Zealand,NZL,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
142,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Nicaragua,NIC,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
143,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Niger,NER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Nigeria,NGA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
145,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,North Macedonia,MKD,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
147,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Norway,NOR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
148,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Oman,OMN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
149,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Pakistan,PAK,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
150,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Palau,PLW,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
151,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Panama,PAN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
152,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Papua New Guinea,PNG,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
153,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Paraguay,PRY,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
154,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Peru,PER,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
155,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Philippines,PHL,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
156,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Poland,POL,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
157,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Portugal,PRT,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
158,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Puerto Rico,PRI,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
159,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Qatar,QAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Romania,ROU,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
161,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Russian Federation,RUS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
162,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Rwanda,RWA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
163,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Samoa,WSM,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
164,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,San Marino,SMR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
165,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Sao Tome and Principe,STP,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
166,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Saudi Arabia,SAU,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
167,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Senegal,SEN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
168,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Serbia,SRB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
169,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Seychelles,SYC,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
170,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Sierra Leone,SLE,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
171,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Singapore,SGP,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
173,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Slovak Republic,SVK,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
174,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Slovenia,SVN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
175,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Solomon Islands,SLB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
176,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Somalia,SOM,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
177,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,South Africa,ZAF,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
178,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,South Sudan,SSD,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
179,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Spain,ESP,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
180,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Sri Lanka,LKA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
181,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,St. Kitts and Nevis,KNA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
182,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,St. Lucia,LCA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
184,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,St. Vincent and the Grenadines,VCT,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
185,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Sudan,SDN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Suriname,SUR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
187,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Sweden,SWE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
188,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Switzerland,CHE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
189,A woman can not get a job in the same way as a man,SG.GET.JOBS.EQ,Syrian Arab Republic,SYR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
